location,total_cases,total_deaths,total_deaths_per_million,total_tests_per_thousand,0
Peru,676848.0,29554.0,896.34,19.123,1
Belgium,90474.0,9917.0,855.68,218.42,1
Spain,525549.0,29516.0,631.294,157.12,1
United Kingdom,355219.0,41594.0,612.7040000000001,237.838,1
Chile,427027.0,11702.0,612.151,142.27100000000002,1
Ecuador,118045.0,10701.0,606.5269999999999,15.979000000000001,1
Bolivia,121604.0,7054.0,604.299,22.035999999999998,1
Brazil,4092832.0,125521.0,590.5219999999999,26.346,1
Italy,283180.0,35587.0,588.586,96.241,1
United States,6300671.0,189208.0,571.621,286.20099999999996,1
